"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","on_base_percent","p_era","p_total_stolen_base","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","xba","woba","xwoba","xobp"
"Webb, Logan","657277","2023","850",22.8,3.6,".248",".280","3.25","20","0","30","0",".255",".283",".295",".287"
"Schmidt, Clarke","657376","2023","694",21.5,6.6,".268",".326","4.64","8","0","38","0",".256",".334",".320",".316"
"Baumann, Mike","657508","2023","273",22.3,12.1,".221",".320","3.76","10","1","14","0",".259",".303",".352",".355"
"Bernardino, Brennan","657514","2023","216",26.9,8.3,".250",".333","3.20","2","1","16","1",".243",".313",".311",".328"
"Ferguson, Caleb","657571","2023","270",25.9,8.5,".269",".352","3.43","4","0","4","0",".249",".321",".303",".334"
"Hill, Tim","657612","2023","202",12.9,6.9,".331",".395","5.48","0","0","2","0",".277",".390",".342",".350"
"Ryan, Joe","657746","2023","672",29.3,5.1,".248",".290","4.51","7","0","29","0",".224",".316",".291",".271"
"Seabold, Connor","657756","2023","408",16.4,6.9,".317",".372","7.52","1","0","13","0",".273",".393",".345",".334"
"Avila, Pedro","658648","2023","220",24.5,11.4,".230",".335","3.22","3","0","4","0",".237",".304",".310",".341"
"Lamet, Dinelson","659275","2023","145",22.1,15.9,".353",".455","11.71","5","0","10","1",".261",".460",".374",".384"
"Fujinami, Shintaro","660261","2023","357",23.2,12.6,".242",".350","7.18","7","0","6","0",".240",".332",".335",".350"
"Ohtani, Shohei","660271","2023","531",31.5,10.4,".184",".285","3.14","5","0","4","0",".206",".277",".302",".305"
"Suarez, José","660761","2023","165",17,12.1,".324",".409","8.29","0","1","17","0",".273",".421",".369",".365"
"De Los Santos, Yerry","660787","2023","104",17.3,12.5,".193",".298","3.33","2","0","4","0",".230",".257",".300",".333"
"Graterol, Brusdar","660813","2023","257",18.7,4.7,".221",".262","1.20","5","0","8","0",".245",".245",".271",".285"
"De Los Santos, Enyel","660853","2023","262",23.7,9.5,".216",".302","3.29","5","4","24","0",".241",".282",".315",".325"
"Martinez, Adrián","661309","2023","241",19.5,7.9,".278",".344","4.75","9","0","21","0",".280",".341",".352",".352"
"Duran, Jhoan","661395","2023","255",32.9,9.8,".207",".298","2.45","8","1","10","0",".185",".271",".251",".279"
"Clase, Emmanuel","661403","2023","302",21.2,5.3,".242",".282","3.22","10","0","2","0",".234",".265",".272",".277"
"Llovera, Mauricio","661440","2023","160",18.1,9.4,".259",".344","4.89","8","0","6","0",".269",".312",".339",".356"
"Martinez, Seth","661527","2023","195",23.1,9.7,".265",".359","5.23","4","0","12","0",".269",".345",".354",".362"
"Muñoz, Andrés","662253","2023","211",31.8,10.4,".217",".318","2.94","8","0","4","0",".205",".279",".268",".306"
"Suarez, Robert","663158","2023","108",22.2,9.3,".155",".231","4.23","2","0","5","0",".217",".222",".279",".291"
"Waldron, Matt","663362","2023","173",17.9,6.9,".244",".295","4.35","8","1","17","0",".258",".328",".325",".308"
"Feltner, Ryan","663372","2023","201",18.9,13.9,".265",".373","5.82","4","0","12","0",".252",".331",".330",".365"
"Thornton, Trent","663423","2023","125",20.8,4.8,".252",".288","2.01","3","1","6","0",".227",".310",".273",".264"
"Campbell, Isaiah","663462","2023","120",27.5,10.8,".210",".300","2.83","4","0","3","0",".227",".273",".304",".316"
"Hjelle, Sean","663546","2023","139",22.3,9.4,".317",".399","6.52","3","1","3","0",".263",".372",".328",".353"
"McClanahan, Shane","663556","2023","469",25.8,8.7,".222",".290","3.29","7","0","7","0",".242",".295",".313",".308"
"Moran, Jovani","663558","2023","184",26.1,14.7,".226",".341","5.31","2","0","8","0",".212",".307",".297",".329"
"Falter, Bailey","663559","2023","347",17.3,5.8,".288",".329","5.36","9","2","20","0",".280",".354",".339",".322"
"Davis, Noah","663562","2023","146",17.8,10.3,".341",".425","8.70","3","1","12","0",".255",".412",".335",".352"
"Lambert, Peter","663567","2023","375",18.9,7.5,".273",".336","5.36","4","3","30","3",".267",".367",".354",".330"
"Irvin, Jake","663623","2023","530",18.7,10.2,".255",".340","4.61","5","0","28","1",".259",".335",".345",".345"
"Ward, Thaddeus","663658","2023","160",18.8,17.5,".225",".369","6.37","2","1","7","0",".234",".347",".356",".377"
"Harris, Hogan","663687","2023","284",19.7,9.9,".269",".348","7.14","4","0","7","1",".257",".352",".345",".338"
"Lynch IV, Daniel","663738","2023","223",15.2,7.2,".245",".300","4.64","9","1","22","0",".269",".312",".340",".324"
"Woodford, Jake","663765","2023","222",13.1,9.9,".314",".387","6.23","2","0","13","0",".306",".404",".394",".385"
"Hoeing, Bryan","663773","2023","304",17.4,8.2,".259",".322","5.48","6","0","8","0",".271",".347",".350",".334"
"Sandoval, Patrick","663776","2023","652",19.6,11.3,".256",".344","4.11","7","2","38","1",".261",".318",".333",".351"
"Kowar, Jackson","663804","2023","137",21.2,14.6,".293",".401","6.43","5","0","5","0",".248",".377",".329",".363"
"Hicks, Jordan","663855","2023","285",28.4,11.2,".231",".326","3.29","2","0","12","0",".210",".296",".283",".311"
"Pearson, Nate","663878","2023","182",23.6,9.9,".226",".313","4.85","8","1","2","0",".222",".310",".305",".310"
"Singer, Brady","663903","2023","702",18.9,7,".287",".341","5.52","11","0","24","0",".276",".346",".340",".334"
"Beck, Tristan","663941","2023","354",19.2,5.9,".252",".300","3.92","2","0","14","0",".245",".298",".298",".294"
"Holton, Tyler","663947","2023","324",22.8,5.6,".185",".232","2.11","1","0","6","0",".239",".234",".290",".283"
"Stephan, Trevor","663986","2023","294",25.5,8.8,".245",".323","4.06","13","0","4","0",".242",".311",".327",".325"
"Gonsolin, Tony","664062","2023","435",18.9,9.2,".226",".307","4.98","8","0","16","0",".275",".312",".366",".351"
